 t [s],a_x_raw [m/s^2],a_y_raw [m/s^2],a_z_raw [m/s^2],a_x_filtered [m/s^2],a_y_filtered [m/s^2],a_z_filtered [m/s^2]
323.81,   -0.26,    0.06,   -9.54,    0.03,   -0.01,   -0.25
323.83,   -0.18,   -0.07,   -9.58,   -0.02,   -0.04,   -0.10
323.85,   -0.17,   -0.05,   -9.56,   -0.06,    0.04,   -0.10
323.87,   -0.14,    0.01,   -9.54,    0.00,    0.02,   -0.21
323.89,   -0.13,    0.05,   -9.56,   -0.05,   -0.01,   -0.27
323.91,   -0.15,    0.08,   -9.68,   -0.02,   -0.00,   -0.13
323.93,   -0.08,    0.14,   -9.56,   -0.07,    0.02,   -0.17
323.95,   -0.32,    0.09,   -9.45,    0.03,    0.01,   -0.20
323.97,   -0.14,    0.08,   -9.71,   -0.05,   -0.02,   -0.18
323.99,   -0.17,    0.04,   -9.48,   -0.11,   -0.04,   -0.30
324.01,   -0.24,    0.01,   -9.52,    0.06,    0.01,   -0.27
324.04,   -0.26,   -0.01,   -9.49,   -0.13,   -0.02,   -0.15
324.06,   -0.18,    0.05,   -9.65,   -0.03,    0.02,   -0.20
324.08,   -0.13,    0.06,   -9.48,   -0.01,    0.03,   -0.27
324.10,   -0.07,    0.02,   -9.48,    0.01,   -0.04,   -0.17
324.12,   -0.22,    0.04,   -9.44,    0.11,   -0.09,   -0.28
324.14,   -0.18,    0.14,   -9.56,    0.08,   -0.15,   -0.35
324.16,   -0.13,    0.04,   -9.61,    0.25,   -0.02,   -0.13
324.18,   -0.10,    0.09,   -9.54,    0.12,    0.02,   -0.11
324.20,   -0.19,   -0.02,   -9.42,    0.06,   -0.06,   -0.09
324.23,   -0.07,    0.09,   -9.71,   -0.00,   -0.02,    0.00
324.25,   -0.39,    0.09,   -9.53,   -0.03,    0.06,   -0.02
324.27,   -0.01,   -0.25,   -9.79,   -0.06,    0.08,   -0.08
324.29,   -0.27,    0.09,   -9.23,   -0.10,    0.06,   -0.15
324.31,   -0.19,    0.19,   -9.74,   -0.03,    0.03,   -0.15
324.33,   -0.07,   -0.01,   -9.67,   -0.16,   -0.08,   -0.14
324.35,   -0.34,   -0.10,   -9.18,   -0.12,   -0.07,   -0.27
324.37,   -0.37,    0.12,   -9.78,   -0.22,   -0.04,   -0.40
324.39,   -0.16,    0.15,   -9.80,   -0.15,   -0.06,   -0.33
324.41,   -0.17,   -0.13,   -9.79,   -0.03,   -0.09,   -0.33
324.44,   -0.42,    0.02,   -9.31,    0.00,   -0.07,   -0.28
324.46,   -0.03,    0.04,   -9.68,    0.07,    0.00,    0.01
324.48,   -0.52,    0.12,   -9.17,   -0.07,   -0.02,   -0.05
324.50,   -0.02,   -0.02,   -9.70,    0.01,    0.00,   -0.24
324.52,   -0.09,    0.18,   -9.85,   -0.01,   -0.04,   -0.23
324.54,   -0.21,    0.26,   -9.71,    0.03,   -0.04,   -0.26
324.56,    0.02,   -0.07,   -9.66,    0.02,    0.02,   -0.10
324.58,   -0.24,   -0.05,   -9.64,   -0.08,    0.02,   -0.03
324.60,   -0.14,    0.05,   -9.55,   -0.06,    0.10,   -0.09
324.62,   -0.28,    0.11,   -9.64,   -0.08,   -0.01,   -0.13
324.64,   -0.17,   -0.04,   -9.55,    0.05,   -0.02,   -0.16
324.67,   -0.12,   -0.03,   -9.71,    0.03,    0.13,   -0.16
324.69,   -0.21,    0.09,   -9.63,    0.02,    0.05,   -0.27
324.71,   -0.21,   -0.00,   -9.66,   -0.08,    0.00,   -0.07
324.73,   -0.19,   -0.03,   -9.32,    0.02,   -0.09,   -0.12
324.75,    0.01,   -0.02,   -9.67,    0.05,   -0.05,   -0.26
324.77,   -0.18,    0.06,   -9.63,   -0.10,    0.07,   -0.06
324.79,   -0.16,    0.08,   -9.52,    0.04,    0.02,   -0.14
324.81,   -0.33,    0.12,   -9.31,   -0.09,    0.04,   -0.20
324.83,   -0.20,    0.14,   -9.80,    0.02,    0.06,   -0.27
324.86,   -0.11,    0.08,   -9.51,    0.07,   -0.00,   -0.22
324.88,   -0.21,   -0.02,   -9.56,   -0.04,   -0.02,   -0.20
324.90,   -0.17,    0.00,   -9.40,    0.08,   -0.04,   -0.29
324.92,   -0.20,    0.04,   -9.57,   -0.03,   -0.04,   -0.20
324.94,   -0.24,   -0.01,   -9.60,    0.04,   -0.02,   -0.27
324.96,   -0.16,    0.00,   -9.57,    0.01,   -0.01,   -0.14
324.98,   -0.32,    0.16,   -9.53,   -0.06,   -0.02,   -0.13
325.00,   -0.12,   -0.00,   -9.40,   -0.01,   -0.02,   -0.17
325.02,   -0.25,   -0.00,   -9.78,   -0.09,   -0.02,   -0.09
325.04,   -0.20,   -0.09,   -9.56,   -0.04,    0.00,   -0.16
325.06,   -0.20,    0.02,   -9.56,    0.03,    0.05,   -0.16
325.09,   -0.18,    0.02,   -9.56,    0.04,    0.06,   -0.16
325.11,   -0.01,    0.08,   -9.37,    0.09,   -0.01,   -0.04
325.13,   -0.28,    0.04,   -9.42,    0.11,    0.01,   -0.02
325.15,   -0.05,    0.07,   -9.63,    0.03,    0.03,   -0.09
325.17,   -0.13,    0.14,   -9.41,    0.00,    0.01,   -0.13
325.19,   -0.18,    0.07,   -9.50,    0.00,   -0.00,   -0.15
325.21,   -0.21,    0.10,   -9.36,   -0.05,   -0.04,   -0.15
325.23,   -0.40,    0.07,   -9.47,   -0.01,   -0.01,   -0.17
325.25,   -0.25,    0.09,   -9.63,   -0.03,   -0.01,   -0.10
325.27,   -0.17,    0.17,   -9.43,   -0.03,    0.00,   -0.27
325.30,   -0.29,    0.09,   -9.47,    0.00,    0.00,   -0.26
325.32,   -0.13,   -0.03,   -9.40,    0.01,   -0.01,   -0.13
325.34,   -0.51,   -0.21,   -9.48,    0.02,   -0.01,   -0.19
325.36,   -0.54,   -0.01,   -9.55,   -0.04,   -0.05,   -0.09
325.38,   -0.01,    0.05,   -9.51,   -0.09,   -0.02,   -0.13
325.40,   -0.29,    0.04,   -9.57,   -0.05,   -0.04,   -0.25
325.42,   -0.20,   -0.01,   -9.38,   -0.04,   -0.02,   -0.22
325.44,   -0.35,   -0.02,   -9.55,   -0.02,    0.06,   -0.27
325.46,   -0.11,    0.05,   -9.41,   -0.02,    0.00,   -0.22
325.49,   -0.10,   -0.00,   -9.50,   -0.03,    0.01,   -0.03
325.51,   -0.06,    0.05,   -9.71,    0.11,    0.02,   -0.12
325.53,   -0.11,   -0.02,   -9.53,    0.06,   -0.00,   -0.10
325.55,   -0.09,    0.03,   -9.74,    0.01,    0.04,   -0.17
325.57,   -0.22,    0.09,   -9.55,    0.10,    0.04,   -0.30
325.59,   -0.26,    0.01,   -9.68,   -0.02,   -0.03,   -0.17
325.61,   -0.32,    0.12,   -9.28,   -0.06,   -0.05,   -0.18
325.63,   -0.25,   -0.01,   -9.65,   -0.03,   -0.05,   -0.18
325.65,   -0.25,    0.12,   -9.41,   -0.04,   -0.02,   -0.25
325.67,   -0.21,    0.05,   -9.74,    0.06,    0.03,   -0.20
325.69,   -0.13,    0.03,   -9.52,    0.03,   -0.00,   -0.28
325.72,   -0.17,   -0.02,   -9.53,   -0.01,    0.03,   -0.38
325.74,   -0.04,   -0.03,   -9.56,    0.06,   -0.02,   -0.14
325.76,   -0.11,   -0.02,   -9.50,   -0.01,   -0.00,   -0.15
325.78,   -0.20,    0.03,   -9.59,   -0.01,   -0.04,   -0.16
325.80,   -0.21,    0.03,   -9.50,    0.06,   -0.04,   -0.14
325.82,   -0.20,    0.10,   -9.64,    0.06,    0.13,   -0.19
325.84,   -0.12,    0.04,   -9.39,    0.06,   -0.05,   -0.22
325.86,   -0.38,    0.18,   -9.15,    0.08,   -0.02,   -0.12
325.88,   -0.36,    0.08,   -9.33,   -0.03,   -0.01,   -0.15
325.90,   -0.26,    0.10,   -9.90,   -0.13,   -0.06,   -0.18
325.93,    0.09,   -0.03,   -9.34,    0.10,    0.13,   -0.10
325.95,   -0.20,    0.06,   -9.82,    0.14,   -0.02,   -0.35
325.97,   -0.02,    0.09,   -9.41,    0.01,    0.02,   -0.14
325.99,   -0.46,    0.08,   -9.61,    0.06,    0.03,   -0.06
326.01,   -0.26,    0.09,   -9.46,   -0.03,   -0.11,   -0.29
326.03,   -0.26,    0.04,   -9.59,   -0.01,   -0.01,   -0.25
326.05,   -0.05,    0.04,   -9.73,    0.08,    0.07,   -0.28
326.07,    0.00,    0.06,   -9.66,    0.06,    0.04,   -0.17
326.09,   -0.13,    0.06,   -9.63,    0.11,   -0.10,   -0.20
326.12,   -0.35,    0.13,   -9.34,   -0.04,   -0.03,   -0.14
326.14,   -0.30,    0.00,   -9.41,   -0.11,    0.04,   -0.24
326.16,   -0.14,   -0.02,   -9.63,   -0.00,    0.02,   -0.26
326.18,   -0.14,    0.04,   -9.64,   -0.02,    0.03,   -0.02
326.20,   -0.37,    0.09,   -9.62,    0.02,    0.01,   -0.20
326.22,   -0.49,    0.07,   -9.75,    0.03,   -0.01,   -0.23
326.24,   -0.28,    0.00,   -9.64,   -0.07,    0.02,   -0.13
326.26,   -0.14,    0.05,   -9.60,   -0.08,    0.03,   -0.10
326.28,    0.07,    0.04,   -9.70,   -0.02,    0.00,   -0.09
326.30,   -0.01,    0.04,   -9.45,    0.04,    0.05,   -0.07
326.32,   -0.04,    0.03,   -9.34,    0.01,    0.03,   -0.19
326.35,   -0.29,   -0.00,   -9.58,    0.02,    0.00,   -0.21
326.37,   -0.08,    0.01,   -9.71,    0.06,    0.02,   -0.05
326.39,   -0.21,   -0.00,   -9.60,    0.05,    0.00,   -0.25
326.41,    0.59,    0.26,   -8.93,    0.03,    0.04,   -0.20
326.43,   -0.53,    0.07,   -9.82,    0.00,   -0.02,   -0.11
326.45,   -0.29,    0.03,   -9.44,    0.04,   -0.02,   -0.23
326.47,   -0.51,    0.12,   -9.62,   -0.02,    0.04,   -0.22
326.49,   -0.13,   -0.03,   -9.44,   -0.04,    0.03,   -0.19
326.51,   -0.33,   -0.01,   -9.70,   -0.02,    0.07,   -0.13
326.54,   -0.24,    0.09,   -9.53,   -0.04,    0.04,   -0.12
326.56,   -0.38,    0.06,   -9.68,   -0.04,   -0.02,   -0.07
326.58,   -0.33,    0.07,   -9.52,   -0.05,   -0.01,   -0.06
326.60,   -0.36,    0.07,   -9.38,   -0.04,   -0.04,   -0.10
326.62,   -0.36,    0.02,   -9.59,   -0.06,   -0.02,   -0.18
326.64,   -0.45,    0.08,   -9.60,   -0.00,    0.01,   -0.17
326.66,   -0.47,   -0.00,   -9.62,   -0.04,    0.01,   -0.12
326.68,   -0.38,    0.07,   -9.39,   -0.06,   -0.01,   -0.13
326.70,   -0.42,    0.10,   -9.33,   -0.00,   -0.07,   -0.16
326.72,   -0.44,    0.15,   -9.44,   -0.15,    0.04,   -0.20
326.75,   -0.31,    0.05,   -9.39,   -0.07,   -0.03,   -0.13
326.77,   -0.41,    0.02,   -9.53,   -0.01,   -0.09,   -0.26
326.79,   -0.40,    0.06,   -9.61,   -0.01,    0.11,   -0.24
326.81,   -0.46,   -0.02,   -9.52,   -0.02,   -0.04,   -0.11
326.83,   -0.33,   -0.02,   -9.52,   -0.05,   -0.10,   -0.20
326.85,   -0.35,   -0.02,   -9.54,    0.07,    0.00,   -0.24
326.87,   -0.31,   -0.03,   -9.77,   -0.02,    0.04,   -0.28
326.89,   -0.33,   -0.01,   -9.71,    0.03,    0.08,   -0.17
326.91,   -0.22,    0.02,   -9.73,    0.04,   -0.13,   -0.12
326.93,   -0.23,    0.04,   -9.51,   -0.03,   -0.11,   -0.16
326.95,   -0.39,    0.05,   -9.46,    0.13,    0.11,   -0.15
326.98,   -0.38,    0.13,   -9.49,    0.03,   -0.01,   -0.15
327.00,   -0.29,    0.02,   -9.35,   -0.03,   -0.07,   -0.15
327.02,   -0.45,    0.03,   -9.52,    0.03,    0.04,   -0.15
327.04,   -0.43,    0.09,   -9.52,    0.00,    0.06,   -0.09
327.06,   -0.45,   -0.04,   -9.62,    0.08,   -0.00,   -0.05
327.08,   -0.49,   -0.01,   -9.75,    0.07,   -0.04,   -0.12
327.10,   -0.39,   -0.03,   -9.65,    0.02,    0.03,   -0.16
327.12,   -0.40,    0.02,   -9.55,   -0.00,    0.01,   -0.13
327.14,   -0.35,    0.03,   -9.50,   -0.04,    0.00,   -0.16
327.17,   -0.27,    0.02,   -9.60,    0.01,    0.04,   -0.10
327.19,   -0.36,    0.00,   -9.60,    0.02,   -0.00,   -0.13
327.21,   -0.37,    0.00,   -9.66,    0.00,    0.07,   -0.18
327.23,   -0.34,   -0.01,   -9.65,   -0.04,    0.02,   -0.07
327.25,   -0.34,   -0.00,   -9.57,   -0.06,   -0.04,   -0.22
327.27,   -0.39,   -0.02,   -9.79,    0.05,    0.03,   -0.25
327.29,   -0.25,    0.02,   -9.35,    0.00,    0.04,   -0.14
327.31,   -0.30,    0.05,   -9.56,    0.04,   -0.02,   -0.20
327.33,   -0.12,   -0.03,   -9.50,    0.09,   -0.01,   -0.06
327.35,   -0.44,    0.15,   -9.69,    0.03,    0.13,   -0.07
327.38,   -0.18,    0.09,   -9.46,    0.09,    0.01,   -0.15
327.40,   -0.22,   -0.02,   -9.64,    0.00,    0.00,   -0.18
327.42,   -0.23,    0.07,   -9.68,    0.03,    0.03,   -0.32
327.44,   -0.22,   -0.01,   -9.68,    0.00,   -0.04,   -0.28
327.46,   -0.29,    0.09,   -9.39,   -0.05,    0.00,   -0.10
327.48,   -0.28,    0.05,   -9.54,    0.10,   -0.11,   -0.25
327.50,   -0.14,   -0.01,   -9.86,    0.05,    0.05,   -0.46
327.52,   -0.22,   -0.02,   -9.85,   -0.04,    0.16,   -0.30
327.54,   -0.35,    0.07,   -9.57,   -0.00,   -0.02,   -0.29
327.56,   -0.29,    0.06,   -9.41,    0.06,   -0.03,   -0.22
327.58,   -0.20,    0.05,   -9.56,   -0.09,    0.01,   -0.01
327.61,   -0.19,    0.05,   -9.75,   -0.14,    0.02,   -0.10
327.63,   -0.20,    0.06,   -9.64,   -0.02,   -0.01,   -0.12
327.65,   -0.26,   -0.00,   -9.69,   -0.06,    0.06,   -0.13
327.67,   -0.18,    0.00,   -9.52,   -0.06,    0.04,   -0.10
327.69,   -0.20,   -0.05,   -9.48,   -0.01,   -0.01,   -0.08
327.71,   -0.21,   -0.02,   -9.51,    0.01,    0.02,   -0.17
327.73,   -0.15,    0.07,   -9.61,    0.01,    0.03,   -0.14
327.75,   -0.18,    0.05,   -9.83,    0.11,    0.00,   -0.15
327.77,   -0.21,    0.04,   -9.47,    0.02,   -0.02,   -0.19
327.80,   -0.33,    0.07,   -9.59,   -0.03,    0.04,   -0.21
327.82,   -0.34,    0.11,   -9.44,    0.10,   -0.06,   -0.19
327.84,   -0.16,    0.07,   -9.66,   -0.02,   -0.01,   -0.22
327.86,   -0.20,    0.04,   -9.54,   -0.04,    0.07,   -0.20
327.88,   -0.30,    0.07,   -9.55,   -0.01,   -0.00,   -0.16
327.90,   -0.19,    0.12,   -9.46,    0.00,    0.05,   -0.30
327.92,   -0.11,    0.10,   -9.73,   -0.00,   -0.00,   -0.26
327.94,   -0.06,   -0.05,   -9.59,   -0.03,   -0.01,   -0.33
327.96,   -0.15,   -0.01,   -9.53,    0.02,   -0.01,   -0.27
327.98,   -0.17,    0.03,   -9.34,    0.00,   -0.02,   -0.06
328.00,   -0.26,    0.04,   -9.51,   -0.01,    0.01,   -0.21
328.03,   -0.17,    0.06,   -9.69,    0.02,   -0.04,   -0.25
328.05,   -0.43,    0.06,   -9.44,    0.07,    0.01,   -0.20
328.07,   -0.21,    0.10,   -9.66,   -0.02,    0.00,   -0.22
328.09,   -0.21,    0.07,   -9.57,   -0.05,   -0.07,   -0.18
328.11,   -0.10,    0.04,   -9.68,    0.02,   -0.08,   -0.21
328.13,   -0.18,   -0.00,   -9.41,   -0.01,   -0.03,   -0.25
328.15,   -0.26,    0.03,   -9.59,    0.02,   -0.02,   -0.16
328.17,   -0.02,   -0.07,   -9.58,   -0.02,   -0.06,   -0.10
328.19,   -0.26,   -0.07,   -9.66,   -0.06,    0.03,   -0.15
328.21,   -0.16,    0.02,   -9.62,    0.02,    0.04,   -0.10
328.24,   -0.30,    0.10,   -9.56,    0.04,   -0.01,   -0.14
328.26,   -0.23,    0.11,   -9.65,   -0.04,    0.01,   -0.11
328.28,   -0.25,    0.17,   -9.52,   -0.01,   -0.03,   -0.10
328.30,   -0.11,    0.09,   -9.51,    0.12,   -0.02,   -0.18
328.32,   -0.13,    0.06,   -9.39,    0.05,   -0.00,   -0.05
328.34,   -0.07,    0.07,   -9.57,    0.01,   -0.03,   -0.19
328.36,   -0.15,    0.05,   -9.49,    0.01,    0.02,   -0.25
328.38,   -0.20,    0.02,   -9.55,   -0.04,    0.00,   -0.11
328.40,   -0.20,   -0.01,   -9.59,    0.06,   -0.02,   -0.28
328.43,   -0.26,    0.03,   -9.73,    0.11,    0.02,   -0.19
328.45,   -0.33,    0.05,   -9.68,   -0.01,   -0.01,   -0.07
328.47,   -0.22,    0.04,   -9.77,   -0.04,   -0.05,   -0.20
328.49,   -0.28,    0.05,   -9.49,    0.01,   -0.05,   -0.10
328.51,   -0.19,    0.01,   -9.68,    0.03,   -0.01,   -0.03
328.53,   -0.18,    0.00,   -9.59,    0.07,    0.00,   -0.23
328.55,   -0.13,    0.05,   -9.64,    0.02,    0.01,   -0.28
328.57,   -0.17,    0.03,   -9.53,   -0.01,    0.10,   -0.14
328.59,   -0.15,   -0.06,   -9.55,   -0.05,    0.09,   -0.16
328.61,   -0.26,   -0.00,   -9.53,    0.01,    0.02,   -0.12
328.63,   -0.20,   -0.03,   -9.69,    0.15,   -0.02,   -0.06
328.66,   -0.14,    0.07,   -9.67,    0.06,    0.01,   -0.11
328.68,   -0.22,    0.03,   -9.55,    0.00,    0.09,   -0.11
328.70,   -0.26,    0.03,   -9.62,    0.05,   -0.01,   -0.22
328.72,   -0.37,   -0.02,   -9.71,    0.09,    0.05,   -0.07
328.74,   -0.40,    0.09,   -9.57,    0.10,    0.19,    0.11
328.76,   -0.30,    0.00,   -9.57,    0.01,    0.17,   -0.05
328.78,   -0.23,    0.11,   -9.60,   -0.04,    0.13,   -0.15
328.80,   -0.24,    0.06,   -9.51,   -0.05,    0.04,   -0.23
328.82,   -0.37,    0.01,  -10.10,   -0.13,    0.09,   -0.32
328.85,    0.07,   -0.01,   -8.89,   -0.22,    0.04,   -0.27
328.87,   -0.57,    0.03,  -10.22,   -0.13,   -0.11,   -0.21
328.89,    0.02,   -0.01,   -9.31,    0.00,   -0.02,   -0.39
328.91,   -0.31,   -0.01,   -9.77,   -0.01,   -0.04,   -0.39
328.93,   -0.07,    0.07,   -9.57,    0.05,   -0.09,   -0.31
328.95,   -0.21,    0.09,   -9.39,    0.05,   -0.15,   -0.34
328.97,   -0.40,    0.02,   -9.54,    0.05,   -0.17,   -0.16
328.99,   -0.48,    0.09,   -9.67,    0.09,   -0.09,   -0.10
329.01,   -0.38,    0.09,   -9.46,   -0.00,   -0.08,   -0.06
329.03,   -0.42,    0.10,   -9.85,   -0.00,   -0.03,   -0.14
329.06,   -0.33,    0.11,   -9.42,   -0.00,    0.06,   -0.23
329.08,   -0.28,    0.07,   -9.64,    0.01,    0.01,   -0.21
329.10,   -0.21,    0.07,   -9.35,   -0.09,   -0.04,   -0.19
329.12,   -0.20,    0.06,   -9.54,   -0.15,    0.10,   -0.12
329.14,   -0.30,    0.01,   -9.52,   -0.02,    0.03,   -0.18
329.16,   -0.26,   -0.02,   -9.62,   -0.00,   -0.06,   -0.25
329.18,   -0.50,   -0.00,   -9.52,    0.04,    0.01,   -0.21
329.20,   -0.40,    0.09,   -9.51,   -0.03,   -0.03,    0.09
329.22,   -0.43,    0.13,   -9.50,    0.01,   -0.02,   -0.13
329.24,   -0.36,    0.06,   -9.62,   -0.10,    0.04,   -0.18
329.26,   -0.33,    0.00,   -9.57,   -0.08,    0.02,   -0.06
329.29,   -0.52,    0.13,   -9.54,    0.19,   -0.08,   -0.39
329.31,   -0.26,    0.07,   -9.75,   -0.18,   -0.03,   -0.01
329.33,   -0.25,   -0.04,   -9.49,   -0.02,    0.00,   -0.18
329.35,   -0.26,   -0.00,   -9.58,    0.13,   -0.06,   -0.29
329.37,   -0.29,   -0.02,   -9.47,   -0.23,    0.01,   -0.04
329.39,   -0.39,   -0.02,   -9.52,    0.10,   -0.07,   -0.49
329.41,   -0.27,   -0.06,   -9.76,    0.09,   -0.04,   -0.08
329.43,   -0.33,    0.07,   -9.62,   -0.09,    0.06,    0.11
329.45,   -0.32,    0.00,   -9.57,    0.11,   -0.09,   -0.32
329.48,   -0.24,    0.07,   -9.60,    0.03,   -0.06,   -0.16
329.50,   -0.34,   -0.00,   -9.62,    0.09,   -0.00,   -0.11
329.52,   -0.38,    0.02,   -9.53,    0.13,   -0.04,   -0.21
329.54,   -0.41,   -0.01,   -9.52,   -0.14,    0.05,    0.01
329.56,   -0.35,   -0.03,   -9.54,   -0.09,    0.11,   -0.06
329.58,   -0.37,    0.08,   -9.62,   -0.10,    0.01,   -0.21
329.60,   -0.34,    0.04,   -9.69,   -0.14,   -0.03,   -0.08
329.62,   -0.42,   -0.04,   -9.46,    0.00,    0.07,   -0.17
329.64,   -0.28,   -0.01,   -9.69,    0.01,    0.04,   -0.19
329.66,   -0.37,    0.08,   -9.54,    0.07,   -0.03,   -0.24
329.69,   -0.28,   -0.02,   -9.56,   -0.03,    0.01,   -0.26
329.71,   -0.32,   -0.04,   -9.55,   -0.02,   -0.05,   -0.15
329.73,   -0.51,    0.03,   -9.52,    0.02,   -0.12,   -0.18
329.75,   -0.32,    0.08,   -9.61,    0.03,   -0.06,   -0.16
329.77,   -0.44,    0.07,   -9.54,    0.09,   -0.01,   -0.13
329.79,   -0.34,   -0.05,   -9.47,    0.02,    0.02,   -0.23
329.81,   -0.44,    0.08,   -9.44,    0.13,    0.08,   -0.27
329.83,   -0.47,    0.06,   -9.50,   -0.03,    0.09,   -0.04
329.85,   -0.31,    0.01,   -9.58,   -0.06,    0.03,   -0.21
329.87,   -0.36,    0.05,   -9.50,    0.08,    0.03,   -0.24
329.89,   -0.39,    0.06,   -9.53,   -0.02,   -0.02,   -0.07
329.92,   -0.36,    0.09,   -9.59,   -0.05,   -0.04,   -0.13
329.94,   -0.27,    0.02,   -9.64,   -0.05,   -0.02,   -0.16
329.96,   -0.36,   -0.04,   -9.57,    0.06,    0.02,   -0.22
329.98,   -0.42,   -0.02,   -9.54,    0.10,    0.01,   -0.04
330.00,   -0.47,    0.04,   -9.48,    0.09,   -0.04,   -0.09
330.02,   -0.33,   -0.02,   -9.64,   -0.04,    0.09,   -0.08
330.04,   -0.34,   -0.03,   -9.50,    0.06,    0.03,   -0.21
330.06,   -0.41,    0.05,   -9.59,    0.11,    0.03,   -0.23
330.08,   -0.34,    0.03,   -9.45,    0.01,    0.00,    0.00
330.11,   -0.33,    0.06,   -9.63,    0.14,   -0.05,   -0.25
330.13,   -0.33,    0.00,   -9.55,   -0.10,    0.14,   -0.16
330.15,   -0.48,    0.00,   -9.58,    0.01,   -0.17,   -0.36
330.17,   -0.37,    0.08,   -9.70,    0.10,   -0.17,   -0.08
330.19,   -0.46,    0.12,   -9.66,   -0.09,    0.17,   -0.00
330.21,   -0.32,    0.04,   -9.55,    0.10,    0.06,   -0.48
330.23,   -0.39,    0.11,   -9.43,    0.04,   -0.13,    0.07
330.25,   -0.37,    0.08,   -9.38,   -0.23,   -0.06,   -0.04
330.27,   -0.42,    0.14,   -9.70,   -0.06,    0.16,   -0.48
330.29,   -0.24,   -0.00,   -9.57,    0.12,   -0.06,   -0.43
330.31,   -0.26,    0.08,   -9.54,   -0.19,   -0.13,   -0.11
330.34,   -0.24,    0.05,   -9.43,    0.05,    0.01,   -0.10
330.36,   -0.10,    0.04,   -9.43,   -0.08,    0.04,   -0.07
330.38,   -0.18,   -0.02,   -9.65,   -0.16,    0.02,    0.08
330.40,   -0.29,    0.02,   -9.56,    0.28,   -0.02,   -0.50
330.42,   -0.28,   -0.02,   -9.49,   -0.03,    0.26,   -0.39
330.44,   -0.24,    0.03,   -9.55,    0.14,    0.06,   -0.25
330.46,   -0.17,   -0.04,   -9.46,    0.13,   -0.15,   -0.31
330.48,   -0.32,    0.06,   -9.62,   -0.03,   -0.02,   -0.14
330.50,   -0.39,    0.10,   -9.58,    0.05,    0.04,   -0.25
330.52,   -0.27,    0.01,   -9.55,   -0.09,    0.03,   -0.16
330.55,   -0.23,    0.07,   -9.64,    0.12,   -0.13,   -0.25
330.57,   -0.32,    0.00,   -9.55,    0.03,    0.02,   -0.28
330.59,   -0.25,    0.06,   -9.38,   -0.01,    0.02,   -0.27
330.61,   -0.33,    0.13,   -9.61,   -0.00,   -0.07,   -0.10
330.63,   -0.26,   -0.05,   -9.66,    0.12,   -0.05,   -0.03
330.65,   -0.22,    0.00,   -9.57,    0.17,   -0.04,   -0.34
330.67,   -0.35,    0.07,   -9.56,   -0.01,    0.06,   -0.18
330.69,   -0.30,   -0.02,   -9.65,    0.01,    0.04,    0.04
330.71,   -0.23,   -0.01,   -9.56,   -0.13,    0.11,   -0.18
330.74,   -0.17,    0.04,   -9.80,    0.11,    0.07,   -0.31
330.76,   -0.22,   -0.02,   -9.36,    0.05,   -0.00,   -0.13
330.78,   -0.31,   -0.02,   -9.69,   -0.01,   -0.06,   -0.07
330.80,   -0.33,   -0.02,   -9.68,    0.09,   -0.01,   -0.10
330.82,   -0.27,    0.06,   -9.62,   -0.08,   -0.00,   -0.19
330.84,   -6.40,   -3.00,  -12.06,    0.08,   -0.09,   -0.22
330.86,    1.31,    2.68,   -8.77,   -0.08,    0.08,   -0.14
330.88,   -0.38,    0.02,  -10.05,    0.00,    0.04,   -0.07
330.90,    0.38,   -0.57,   -9.23,    0.05,   -0.04,   -0.17
330.92,   -0.50,    0.79,   -9.03,   -0.06,   -0.10,   -0.36
330.94,    0.04,    0.28,   -9.73,    0.05,   -0.09,   -0.10
330.97,   -0.39,    0.01,   -9.56,   -0.04,   -0.01,   -0.20
330.99,   -0.22,   -0.01,   -9.47,    0.18,   -0.00,   -0.11
331.01,   -0.26,   -0.05,   -9.66,    0.05,    0.04,    0.10
331.03,   -0.18,   -0.03,   -9.68,    0.00,   -0.02,   -0.24
331.05,   -0.13,    0.08,   -9.56,    0.19,    0.09,   -0.08
331.07,   -0.31,   -0.02,   -9.76,    0.01,    0.07,   -0.08
331.09,   -0.06,   -0.06,   -9.52,    0.06,    0.04,   -0.05
331.11,   -0.16,   -0.00,   -9.65,   -0.10,    0.06,    0.03
331.13,   -0.18,    0.08,   -9.53,   -0.17,    0.01,   -0.22
331.15,   -0.16,   -0.02,   -9.53,    0.08,    0.11,   -0.12
331.18,   -0.23,    0.01,   -9.61,   -0.07,    0.08,   -0.07
331.20,   -0.29,   -0.05,   -9.51,    0.04,    0.02,   -0.03
331.22,   -0.48,    0.07,   -9.33,   -0.05,   -0.20,   -0.04
331.24,    0.92,    0.16,   -9.62,   -0.44,   -0.17,   -0.14
331.26,    0.41,    0.12,   -9.31,   -0.01,    0.02,   -0.13
331.28,   -1.86,   -1.72,   -9.23,    0.12,   -0.00,   -0.17
331.30,   -1.10,    0.42,   -9.96,   -0.08,   -0.01,   -0.06
331.32,    0.09,   -0.02,   -9.29,   -0.03,   -0.09,   -0.08
331.34,   -0.52,   -0.04,   -9.97,   -0.06,   -0.01,   -0.10
331.37,   -0.16,   -0.03,   -9.37,    0.15,   -0.02,   -0.03
331.39,   -0.34,    0.02,   -9.75,    0.14,   -0.02,   -0.23
331.41,   -0.28,    0.05,   -9.59,    0.11,   -0.01,   -0.25
